zip-code,avg_sal_zip_code
9890,18847.33
1140,21079.33
1800,18847.33
8380,18847.33
9000,18847.33
1050,17415.2433607586
1040,21079.33
7500,18082.5351076242
1030,21079.33
4520,19916.1583446217
4500,17838.256255768
1000,21079.33
8434,18847.33
2260,18847.33
1160,19733.8688960586
4000,15434.7790984043
8700,18847.33
9100,18847.33
1490,18849.11
1760,18847.33
5300,17523.7791589599
2550,18847.33
8870,18847.33
7900,18412.4057865289
1410,23877.219229655
1420,18849.11
9040,18847.33
1060,21079.33
9070,18847.33
1200,18213.7389849598
1325,25140.1172805434
1020,21079.33
1180,21535.6361412241
2830,18847.33
2610,18847.33
8420,18847.33
1070,21079.33
2980,18847.33
5020,18824.9289648395
2960,18847.33
1150,21199.9894126166
1130,21079.33
2000,18847.33
9800,18847.33
1210,21079.33
1190,21079.33
2100,18847.33
1170,20962.9941812727
2020,18847.33
2660,18847.33
9051,18847.33
8793,20026.0537864581
8710,18847.33
1300,21337.280926672
1400,21601.8996520445
8490,18847.33
9690,21204.1738738454
8790,20026.0537864581
4540,17726.2210544218
8800,18847.33
3010,18847.33
9810,18847.33
5030,21069.4796388815
1850,18847.33
9260,18847.33
9032,18847.33
2970,18847.33
1970,24283.4512089144
1090,15399.0955790093
2930,18847.33
2640,18847.33
2250,18847.33
8000,18847.33
6800,18599.2252826855
2560,18847.33
2200,18847.33
2860,18847.33
9820,18847.33
7100,15102.1660424216
9770,21204.1738738454
6890,18173.4670505243
6700,22235.3261005286
4431,17113.9824547171
1080,21079.33
8370,18847.33
2580,18847.33
9940,18847.33
1930,18847.33
2220,18847.33
3118,18847.33
1820,18847.33
5100,18824.9289648395
1380,27008.5198092165
1500,18847.33
9300,18847.33
3000,18847.33
8560,20026.0537864581
8500,20026.0537864581
1360,18849.11
4820,12659.6257535234
5060,16591.0532426336
7000,16636.717607392
4700,18914.6894843639
4020,15434.7790984043
7090,19240.3023660593
7180,20847.2204233449
4460,16059.3669263462
7333,18006.2479631211
5000,18824.9289648395
7800,19227.3122235031
2370,18847.33
9600,16197.937070979
8430,18847.33
8791,20026.0537864581
5001,18824.9289648395
1600,18847.33
1601,18847.33
3190,18847.33
1731,18847.33
9900,18847.33
1703,18847.33
4300,19685.2356073556
9200,18847.33
4400,16870.8303130092
4800,14758.0093704106
4802,14758.0093704106
6900,17789.0763236883
1830,18847.33
8470,18847.33
1120,21079.33
8530,20026.0537864581
2300,18847.33
2490,18847.33
2850,18847.33
9220,18847.33
9620,18847.33
2500,18847.33
1730,18847.33
1933,18847.33
4100,14612.9643672109
3720,19407.8313149444
3130,18847.33
3001,18847.33
1315,22011.2211626222
8860,20026.0537864581
4950,17876.0202615531
6880,16922.4921008593
2880,18847.33
4470,18930.6375779896
8610,18847.33
2270,18847.33
4870,22858.9189618434
7060,18081.3669711011
1480,17371.3605473439
2440,18847.33
8792,20026.0537864581
1853,18847.33
8670,18847.33
2240,18847.33
1083,21079.33
5310,18824.9289648395
8480,18847.33
2800,18847.33
9700,21204.1738738454
8900,19247.8428592656
9120,18847.33
4684,17952.2073262852
8600,18847.33
9420,18847.33
1082,15760.9488416595
8660,18847.33
3840,19407.8313149444
8810,18847.33
3270,18847.33
4340,20209.0670896895
2590,18847.33
4480,15970.5790078918
2275,18847.33
6220,16636.3583245142
1348,21921.4928533435
2400,18847.33
1780,21786.8511532057
2230,18847.33
2290,18847.33
8400,18847.33
1370,20739.1455457268
1755,18847.33
2890,18847.33
1831,18847.33
8210,18847.33
9052,18847.33
1340,20524.3168964746
2018,18847.33
4680,17952.2073262852
3128,18847.33
1301,21337.280926672
1332,23578.3437328389
3300,18847.33
8200,18847.33
3020,18847.33
9255,18847.33
9340,18847.33
8820,18847.33
2160,18847.33
9320,18847.33
2870,18847.33
1861,18847.33
2460,18847.33
4052,24650.181635579
9750,21204.1738738454
8310,18847.33
1700,18847.33
3080,18847.33
2600,18847.33
1435,21921.4928533435
1840,18847.33
2840,18847.33
1950,22882.1107954956
8620,18847.33
1640,25362.5198801231
1470,22497.4454164524
8300,18847.33
3018,18847.33
2900,18847.33
6724,20984.0698938304
2650,18847.33
4690,19174.925952301
2050,18847.33
4040,14994.8234369246
3590,18847.33
4557,21170.4444533821
6790,16945.3162935962
6810,17708.379293915
2060,18847.33
2861,18847.33
1081,21079.33
6720,20984.0698938304
9090,18847.33
1650,18847.33
2620,18847.33
1310,23981.2350214996
6750,18999.6522665808
4650,19929.857707151
3680,18847.33
4180,18691.9206786271
2630,18847.33
2070,18847.33
2360,18847.33
6001,13746.0680191964
4051,24650.181635579
6791,16945.3162935962
9550,18847.33
1785,18847.33
8750,18847.33
4121,25114.2413781698
4620,17796.1724117288
4900,18252.8345157158
3400,18847.33
3600,18847.33
8570,20026.0537864581
4030,15434.7790984043
2140,18847.33
9402,18847.33
6224,16636.3583245142
6640,17895.7555894663
9500,18847.33
2820,18847.33
4140,21620.516448454
4042,14994.8234369246
4430,17113.9824547171
6792,16945.3162935962
9140,18847.33
1880,18847.33
3800,18847.33
2530,18847.33
6600,17649.4167725485
1740,18847.33
8540,20026.0537864581
1320,22643.4620777238
1390,23830.4945109205
9030,18847.33
9630,21204.1738738454
5190,18212.5006560209
9080,18847.33
1428,18849.11
4420,18849.11
6000,13746.0680191964
6920,17636.9719079794
8301,18847.33
2950,18847.33
3920,18847.33
4530,20501.3747019566
6690,16872.1364481359
3200,18847.33
4560,20714.6519560534
8450,18847.33
8930,20026.0537864581
1702,18847.33
2540,18847.33
5500,16755.2122805443
1501,18847.33
8770,18847.33
9170,18847.33
1932,18847.33
9280,18847.33
9400,18847.33
6670,16310.2297053919
6760,18039.6623560533
6740,18849.11
6840,18849.11
7700,15849.6149372947
3210,18847.33
4217,20679.5378579255
4031,15434.7790984043
4570,19383.1286344422
4837,19277.4172676621
8840,18847.33
5350,18660.1664255154
4608,21239.5641785287
9031,18847.33
4920,19126.7770259803
4600,17908.9497740712
3090,18847.33
8920,19247.8428592656
6950,17679.2238811063
9660,21204.1738738454
7640,16578.4461835624
7890,19716.6865220294
1652,18847.33
4577,20483.5201042901
1560,18847.33
9130,18847.33
9230,18847.33
6838,17118.2407499539
2110,18847.33
6767,17817.6836015144
7301,14699.3265363297
5561,17148.5114577903
4367,21429.0614689755
9470,18847.33
6860,19316.3871438862
4130,22842.682823665
9450,18847.33
1770,18847.33
2242,18847.33
6820,17151.2437361459
3060,18847.33
4101,14612.9643672109
2180,18847.33
3850,18847.33
3583,18847.33
2170,18847.33
5580,17315.001433458
4041,14994.8234369246
7080,15716.3411343868
1495,21874.1483255944
1330,23578.3437328389
9910,18847.33
1620,17049.2225526269
1630,23563.6840949744
5070,18538.2009848123
8587,18379.328638339
5150,20041.3004798724
